TF,score,n_metrics,g1_dm_diff,g2_gd,g3_ko_diff,g4_survival
IRF2BPL,1.8,1,0.5054851540078735,0.3745381676999186,0.4199676102192593,0.5
FOXP2,1.7964,7,0.6995351637178728,0.4429832801052039,0.5600394043567879,0.0937971547509318
STAT5A,1.7952,5,0.5941179427280443,0.2990168451374538,0.8301341625202434,0.07197242359038254
FIGLA,1.792,1,0.5227355039960764,0.3493017721836057,0.4199676102192593,0.5
LMO2,1.7919,6,0.47681550573137005,0.40985659715699163,0.8134304560563359,0.09182830378404577
ETV5,1.7904,6,0.7440149797169496,0.2993299517815768,0.66537006911086,0.08167450259178785
LITAF,1.7885,6,0.603871204989202,0.35844448619199704,0.7516579957172912,0.074484208324892
CUX1,1.7852,5,0.7433065925185569,0.3743503037134448,0.5668747454035394,0.10068245412500293
MAFG,1.7839,7,0.6773389851570784,0.390193499906068,0.6590952082064993,0.05723292286903414
NFIC,1.7769,6,0.7805654075859416,0.2371469722587513,0.704944535627659,0.05428270033254126
IRF4,1.7766,6,0.6327896553538822,0.354561963804872,0.7311442304884668,0.05815164188316205
SMAD2,1.7766,5,0.7532318299036562,0.36145030997557764,0.5777716954694547,0.08415271803238866
TCF3,1.7754,6,0.5684258297135052,0.4551944392260004,0.6699283503292568,0.08186377981696427
LYL1,1.7728,5,0.5193615862845014,0.36464399774563216,0.7506346897652839,0.1381613988282318
NKX2.5,1.7707,5,0.7684922754149894,0.34285177531467215,0.6091859699360455,0.050133962475675406
BARX1,1.7693,6,0.5937952060594844,0.3860604922036445,0.6736846442441877,0.1157162842148183
ETV2,1.7693,5,0.70979858902364,0.33947022355814394,0.6364448988091138,0.08354906508873822
RARB,1.7682,6,0.6673042040388044,0.35474982779134573,0.6826776825076056,0.06348679469117993
USF2,1.7672,5,0.7255027869047743,0.3236896486943453,0.6334761277232451,0.0845191355023867
TP73,1.7642,5,0.5918911627948781,0.4638361826037949,0.6445679544602253,0.06389540766139232
TFEB,1.759,6,0.7955927232512355,0.32218673680255494,0.5639677877899022,0.07725699149581003
CEBPA,1.7581,5,0.6195861191793395,0.28668044335900805,0.7643191062580648,0.08750328409660328
BATF,1.7541,6,0.49363973523197247,0.44198133884401025,0.7620341472926824,0.056398933703063196
KAT6A,1.7536,5,0.5993157662800783,0.4714133633915712,0.6263664488244689,0.05648364563513337
CREBBP,1.7521,5,0.5780504582153623,0.5246414928924792,0.43957123959364,0.20987292135224267
IRF7,1.7512,6,0.679711599971931,0.2716513244411046,0.7472764945606813,0.0525941340800052
OLIG1,1.751,6,0.7976516483293108,0.34923915085478113,0.5497042962613932,0.054377266891302206
RFXANK,1.7505,6,0.5972010517080393,0.39620514747322944,0.7161981209416276,0.04087507137613182
NFKBIB,1.7499,5,0.7098184634911953,0.3563779823407852,0.6322592304061077,0.05144449773917679
NFATC4,1.7497,6,0.7363672206950775,0.3503663347736239,0.5974103982579477,0.06555564157008234
ERF,1.7475,6,0.5806182925977029,0.3844949589830296,0.6231539972582132,0.15924686161570945
ID2,1.7456,5,0.5687482156274708,0.3124804308347423,0.7843855730093705,0.08000246276086834
PURA,1.7453,6,0.6233707388114664,0.37860855407351746,0.6972663275193502,0.046008922927861226
